pipewire-v4l2 1:0.3.47-2
pixman 0.40.0-1
pkgconf 1.8.0-1
polkit 0.120-4
poppler 22.03.0-1
popt 1.18-3
procps-ng 3.3.17-1
protobuf 3.19.4-1
protobuf-c 1.4.0-2
psmisc 23.4-1
pwgen 2.08-2
pyenv 2.2.4-1
python 3.10.2-1
python-anytree 2.8.0-5
python-appdirs 1.4.4-6
python-argcomplete 1.12.3-1
python-attrs 21.4.0-1
python-cachecontrol 1:0.12.6-4
python-cairo 1.20.1-3
python-certifi 2021.10.8-3
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-charset-normalizer 2.0.10-1
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-defusedxml 0.7.1-4
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-distutils-extra 2.39-10
python-dnspython 1:2.2.0-1
python-docopt 0.6.2-11
python-filelock 3.4.1-1
python-future 0.18.2-7
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-levenshtein 0.12.2-3
python-lxml 4.7.1-1
python-markdown 3.3.6-3
python-more-itertools 8.10.0-4
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-pep517 0.12.0-4
python-pillow 9.0.1-1
python-pip 21.0-1
python-pipenv 2022.1.8-2
python-platformdirs 2.4.1-1
python-ply 3.11-10
python-progress 1.6-5
python-psutil 5.9.0-1
python-pycparser 2.21-3
python-pygments 2.11.2-1
python-pyinotify 0.9.6-11
python-pyopenssl 21.0.0-5
python-pyparsing 3.0.1-1
python-pysocks 1.7.1-7
python-pyxdg 0.27-4
python-requests 2.27.1-1
python-requests-toolbelt 0.9.1-7
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.3.0-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.0-1
python-urllib3 1.26.8-1
python-virtualenv 20.11.0-1
python-virtualenv-clone 0.5.7-3
python-webencodings 0.5.1-9
python-websocket-client 1.2.3-2
python-xlib 0.31-3
python-xmltodict 0.12.0-8
python-yaml 6.0-1
python-zipp 3.7.0-1
qbittorrent 4.4.1-1
qpdf 10.6.2-3
qt5-base 5.15.2+kde+r305-1
qt5-declarative 5.15.2+kde+r46-1
qt5-svg 5.15.2+kde+r16-2
qt5-translations 5.15.2+kde+r22-1
qt5-wayland 5.15.2+kde+r54-1
qt5-x11extras 5.15.2-2
qt6-base 6.2.3-5
qt6-svg 6.2.3-2
qt6-translations 6.2.3-1
ranger 1.9.3-4
rav1e 0.4.1-1
readline 8.1.002-1
reflector 2021.11-3
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 13.0.0-2
rpcbind 1.2.6-2
rsync 3.2.3-4
rtkit 0.13-1
ruby2.7 2.7.5-1
run-parts 5.5-1
runc 1.1.0-1
sbc 1.5-2
sdl 1:1.2.15+r406+gf1caf909-1
seatd 0.6.4-1
sed 4.8-1
serd 0.30.10-1
shadow 4.11.1-1
shared-mime-info 2.0+115+gd74a913-1
slack-desktop 4.23.0-1
slang 2.3.2-2
slurp 1.3.2-2
smbclient 4.15.5-1
sndio 1.8.1-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
spdlog 1.9.2-3
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.38.0-1
sratom 0.6.8-3
starship 1.3.0-2
sudo 1.9.9-2
svt-av1 0.9.0-1
swappy 1.4.0-1
sway 1:1.7-2
swaybg 1.1-3
swaylock 1.5-4
sysfsutils 2.1.1-1
systemd 250.3-4
systemd-libs 250.3-4
systemd-sysvcompat 250.3-4
talloc 2.3.3-3
tar 1.34-1
tcl 8.6.12-3
tdb 1.4.6-1
terminus-font 4.49.1-2
tevent 1:0.11.0-3
texinfo 6.8-2
tfswitch-bin 0.13.1201-1
thin-provisioning-tools 0.9.0-1
timeshift 21.09.1-3
timeshift-autosnap 0.9-1
tlp 1.5.0-4
tpm2-tss 3.2.0-1
tracker3 3.2.1-2
tree 2.0.2-1
tree-sitter 0.20.5-1
tslib 1.22-1
ttf-font-awesome 6.0.0-1
ttf-liberation 2.1.5-1
ttf-victor-mono 1.5.2-1
tzdata 2021e-1
udisks2 2.9.4-1
ueberzug 18.1.9-3
ulauncher 5.14.3-1
unibilium 2.1.1-1
unzip 6.0-18
usbutils 014-2
util-linux 2.37.4-1
util-linux-libs 2.37.4-1
v4l-utils 1.22.1-1
vagrant 2.2.19-1
vala 0.54.7-1
ventoy-bin 1.0.70-1
vim 8.2.4464-1
vim-runtime 8.2.4464-1
virtualbox 6.1.32-2
virtualbox-host-modules-arch 6.1.32-12
volume_key 0.3.12-7
vscodium-bin 1.64.2-1
vte-common 0.66.2-1
vte3 0.66.2-1
vulkan-headers 1:1.3.206-1
vulkan-icd-loader 1.2.203-1
waybar 0.9.9-2
wayland 1.20.0-1
webkit2gtk 2.34.6-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wl-clipboard 1:2.0.0-3
wlroots 0.15.1-2
wmctrl 1.07-6
woff2 1.0.2-3
wpa_supplicant 2:2.10-3
wpebackend-fdo 1.12.0-1
x265 3.5-1
xapp 2.2.8-1
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-errors 1.0-4
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xdg-dbus-proxy 0.1.3-1
xdg-desktop-portal 1.12.1-1
xdg-desktop-portal-wlr 0.5.0-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-video-nouveau 1.0.17-2
xfsprogs 5.14.2-1
xkeyboard-config 2.35.1-1
xorg-bdftopcf 1.1-2
xorg-font-util 1.3.2-2
xorg-fonts-encodings 1.0.5-2
xorg-mkfontscale 1.2.1-2
xorg-server-common 21.1.3-6
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1.1-1
xorg-xhost 1.0.8-2
xorg-xkbcomp 1.4.5-1
xorg-xprop 1.2.5-1
xorg-xset 1.2.4-2
xorg-xwayland 22.1.0-1
xorgproto 2021.5-1
xxhash 0.8.1-1
xz 5.2.5-2
yarn 1.22.17-1
yay 11.1.1-1
yq 2.14.0-1
zeromq 4.3.4-2
zlib 1:1.2.11-5
zoom 5.9.6-1
zplug 2.4.2-1
zsh 5.8.1-1
zstd 1.5.2-2
